time,longitude,latitude,mag,depth
2013-05-26 03:45:00,121.33,23.07,3.4,19.1
2013-05-26 10:15:00,121.77,24.29,2.7,14.1
2013-05-27 05:00:00,121.51,24.04,2.9,18.3
2013-05-27 07:30:00,122.39,24.9,4.5,15.5
2013-05-27 15:45:00,121.42,24.39,3.1,6.7
2013-05-28 12:00:00,120.46,23.45,2.6,6.2
2013-05-28 14:15:00,120.96,23.2,2.7,6.1
2013-05-29 09:30:00,122.36,24.01,4.8,29.4
2013-05-30 09:45:00,121.56,23.9,2.8,8.6
2013-05-30 11:00:00,121.64,23.92,4.8,46.9
2013-05-31 10:00:00,120.96,23.2,3.0,6.1
2013-06-01 15:00:00,121.46,23.94,2.8,17.5
2013-06-02 04:30:00,121.27,22.04,5.0,31.5
2013-06-02 13:30:00,120.97,23.86,6.5,14.5
2013-06-02 13:45:00,120.98,23.87,3.3,14.3
2013-06-02 14:00:00,120.93,23.8,3.5,11.9
2013-06-02 14:15:00,120.97,23.81,3.9,13.2
2013-06-02 17:00:00,120.96,23.77,3.1,13.7
2013-06-02 18:15:00,120.98,23.87,4.4,14.0
2013-06-04 03:30:00,121.74,24.64,2.7,6.9
2013-06-07 08:45:00,120.95,23.71,3.3,24.0
2013-06-07 12:30:00,121.64,24.32,2.9,24.1
2013-06-08 00:30:00,122.65,23.98,6.2,35.3
2013-06-08 02:15:00,121.63,24.3,3.5,23.0
2013-06-08 03:00:00,121.97,24.43,2.7,13.0
2013-06-08 23:30:00,120.84,22.66,2.9,8.4
2013-06-09 04:00:00,120.97,23.85,3.7,13.7
2013-06-09 11:00:00,120.54,23.17,3.5,15.6
2013-06-10 15:00:00,121.48,23.79,2.9,11.3
2013-06-11 10:45:00,120.71,23.54,3.1,7.4
2013-06-12 07:15:00,121.76,24.26,3.0,16.0
2013-06-13 13:15:00,121.96,24.45,3.3,21.0
2013-06-14 03:45:00,121.44,24.33,3.7,6.2
2013-06-15 10:30:00,121.58,21.92,3.3,12.4
2013-06-16 08:30:00,121.48,24.29,3.3,6.4
2013-06-17 16:15:00,121.49,24.28,3.7,6.4
2013-06-17 19:30:00,120.96,23.69,3.6,13.1
2013-06-18 03:30:00,122.21,24.78,4.0,8.7
2013-06-18 04:45:00,120.98,23.93,3.1,7.8
2013-06-18 05:00:00,120.98,23.93,2.6,8.4
2013-06-19 17:15:00,121.49,24.28,3.2,6.4
2013-06-20 13:15:00,121.64,24.34,3.8,24.2
2013-06-20 23:00:00,121.48,23.91,4.1,15.1
2013-06-21 02:15:00,121.41,23.75,2.8,19.8
2013-06-21 12:45:00,120.97,23.93,3.3,8.4
2013-06-21 19:00:00,121.48,23.71,2.6,6.9
2013-06-21 21:30:00,121.49,24.28,3.9,5.3
2013-06-24 09:00:00,121.48,24.29,3.0,6.3
2013-06-24 10:15:00,121.93,24.29,3.7,14.7
2013-06-24 13:45:00,121.43,24.39,3.1,7.0
2013-06-25 06:30:00,122.04,24.85,3.7,10.3
2013-06-25 11:00:00,122.08,24.84,3.6,6.7
2013-06-26 03:45:00,122.04,24.85,3.9,13.5
2013-06-26 04:30:00,121.45,23.31,3.6,26.1
2013-06-26 04:45:00,122.05,24.84,3.8,10.2
2013-06-26 17:45:00,121.47,23.92,2.4,15.2
2013-06-26 18:15:00,121.87,24.79,4.5,10.0
2013-06-27 07:30:00,120.96,23.21,3.4,6.0
2013-06-28 15:30:00,121.4,22.2,3.8,21.0
2013-06-29 06:00:00,121.83,24.42,3.5,12.0
2013-06-29 07:45:00,122.24,24.03,5.7,19.8
2013-06-30 12:00:00,120.02,22.37,2.9,35.3
2013-06-30 12:45:00,121.01,24.0,4.1,16.3
2013-06-30 13:30:00,121.0,24.0,3.4,16.6
2013-06-30 20:30:00,121.01,24.0,3.8,16.9
2013-07-02 02:00:00,121.91,24.3,3.9,7.4
2013-07-03 16:00:00,121.94,24.45,3.9,12.3
2013-07-04 01:00:00,121.79,24.29,3.3,14.2
2013-07-04 16:15:00,121.38,23.0,3.2,19.3
2013-07-06 12:15:00,121.33,22.84,4.1,21.2
2013-07-06 13:15:00,121.44,24.24,3.0,7.2
2013-07-09 23:45:00,121.48,24.29,3.7,6.8
2013-07-10 17:15:00,121.49,24.28,3.3,5.5
2013-07-11 13:30:00,121.64,24.33,3.5,24.0
2013-07-11 13:45:00,121.63,24.33,3.4,23.5
2013-07-11 21:00:00,121.67,23.79,3.3,22.6
2013-07-12 18:30:00,121.58,21.9,3.1,9.5
2013-07-15 03:15:00,120.91,22.97,4.6,1.7
2013-07-15 06:00:00,120.91,22.98,3.4,4.5
2013-07-15 08:15:00,120.48,23.43,2.6,10.8
2013-07-15 21:30:00,122.84,23.76,5.7,40.0
2013-07-15 23:00:00,121.05,23.96,4.0,19.1
2013-07-16 13:45:00,121.79,24.4,2.6,12.6
2013-07-16 18:00:00,121.5,24.28,5.5,4.9
2013-07-16 18:30:00,121.49,24.29,3.6,5.7
2013-07-17 03:15:00,121.48,24.28,3.1,6.9
2013-07-18 08:15:00,120.91,22.97,3.5,4.3
2013-07-21 03:15:00,121.49,24.28,4.3,5.1
2013-07-21 13:15:00,121.62,24.03,2.7,9.0
2013-07-21 13:45:00,121.48,23.91,3.3,14.9
2013-07-21 20:30:00,121.63,24.34,2.9,23.5
2013-07-21 20:45:00,120.91,24.05,3.4,24.2
2013-07-23 00:00:00,120.88,24.24,3.2,31.9
2013-07-23 10:15:00,121.37,22.99,3.4,34.7
2013-07-24 22:45:00,121.53,23.91,4.8,9.1
2013-07-24 23:00:00,121.51,23.91,2.3,9.3
2013-07-24 23:30:00,121.53,23.91,5.0,10.6
2013-07-24 23:45:00,121.52,23.9,2.5,9.0
2013-07-25 02:15:00,121.52,23.88,2.6,7.9
2013-07-25 17:00:00,121.2,23.15,3.9,10.6
2013-07-26 17:30:00,121.29,23.15,2.9,7.4
2013-07-28 00:45:00,121.84,24.39,2.5,10.7
2013-07-28 22:15:00,121.52,23.89,2.4,8.9
2013-07-29 12:00:00,121.61,23.57,3.4,33.1
2013-08-02 20:30:00,121.89,24.51,3.4,29.8
2013-08-03 00:30:00,121.48,22.99,3.3,22.2
2013-08-03 02:45:00,122.12,24.37,4.3,58.4
2013-08-03 07:15:00,121.39,22.91,3.7,21.1
2013-08-03 16:00:00,121.47,23.78,3.0,11.2
2013-08-04 17:45:00,121.87,24.3,3.6,24.1
2013-08-05 02:45:00,121.77,24.27,3.8,49.5
2013-08-07 20:15:00,121.74,24.45,2.7,8.4
2013-08-07 21:00:00,121.93,24.48,3.1,15.6
2013-08-08 10:30:00,121.9,24.43,3.4,22.7
2013-08-09 05:45:00,121.74,24.26,3.0,13.8
2013-08-09 06:45:00,121.74,24.26,3.8,13.0
2013-08-09 07:00:00,121.73,24.26,2.8,14.2
2013-08-09 19:30:00,121.73,24.26,2.7,12.7
2013-08-09 19:45:00,121.73,24.25,3.2,12.8
2013-08-10 00:00:00,120.98,24.69,2.6,9.1
2013-08-11 02:30:00,121.64,24.42,3.2,44.9
2013-08-12 00:15:00,121.56,23.56,3.4,32.9
2013-08-12 10:00:00,121.51,24.07,2.8,21.6
2013-08-12 17:30:00,121.86,24.78,3.4,9.3
2013-08-12 20:45:00,121.78,24.24,3.5,17.2
2013-08-12 21:00:00,121.78,24.24,3.2,16.6
2013-08-13 00:15:00,121.78,24.24,3.9,17.6
2013-08-14 09:00:00,121.37,23.12,3.8,21.8
2013-08-16 03:30:00,120.19,23.9,3.1,29.4
2013-08-16 20:30:00,121.38,22.09,3.9,18.4
2013-08-17 08:45:00,121.39,22.1,3.6,21.0
2013-08-17 17:15:00,120.19,23.89,3.1,29.1
2013-08-18 22:45:00,122.48,23.95,4.8,28.1
2013-08-19 22:45:00,121.57,23.58,3.9,33.1
2013-08-23 05:00:00,118.75,25.64,5.0,18.0
2013-08-23 12:00:00,121.8,24.31,2.7,14.7
2013-08-24 22:45:00,121.04,23.89,4.7,18.9
2013-08-27 15:00:00,121.4,22.92,3.1,22.3
2013-08-27 16:15:00,121.99,24.47,3.0,12.2
2013-08-28 19:45:00,121.76,24.15,4.4,43.6
2013-08-29 08:45:00,120.89,23.9,2.7,7.4
2013-08-29 13:00:00,121.69,24.15,2.7,9.6
2013-08-29 20:15:00,121.75,24.25,3.5,13.8
2013-08-29 21:45:00,121.73,24.26,3.2,11.4
2013-09-01 09:00:00,121.98,24.45,3.5,13.0
2013-09-01 10:15:00,120.74,23.29,4.0,13.6
2013-09-01 10:45:00,120.74,23.29,3.3,14.3
2013-09-01 13:45:00,120.95,23.21,2.9,4.0
2013-09-01 14:45:00,120.74,23.29,3.9,13.4
2013-09-03 14:15:00,121.62,24.22,3.8,20.1
2013-09-03 17:45:00,120.55,21.89,4.3,40.4
2013-09-03 18:15:00,121.73,24.26,2.3,10.5
2013-09-04 03:15:00,121.39,22.82,4.1,24.0
2013-09-04 06:15:00,118.76,25.64,5.3,14.7
2013-09-04 17:30:00,121.66,24.09,3.3,8.2
2013-09-05 02:45:00,121.36,23.17,3.2,17.9
2013-09-05 07:15:00,120.53,23.63,2.6,11.7
2013-09-05 11:15:00,120.92,23.8,2.9,11.9
2013-09-05 16:45:00,121.53,22.92,4.3,18.4
2013-09-06 02:30:00,121.94,24.78,4.0,80.6
2013-09-06 19:30:00,122.28,20.05,6.8,206.2
2013-09-08 04:30:00,121.04,24.75,1.9,6.9
2013-09-08 16:00:00,121.03,24.75,2.4,8.4
2013-09-09 03:00:00,121.36,24.37,3.3,8.3
2013-09-09 19:00:00,121.02,24.75,2.0,8.9
2013-09-11 07:15:00,121.37,22.73,4.3,29.2
2013-09-12 06:30:00,121.67,24.15,4.0,28.4
2013-09-13 20:00:00,121.49,24.37,2.6,5.6
2013-09-14 12:00:00,120.91,23.18,3.1,7.9
2013-09-14 14:45:00,121.48,23.96,2.5,17.5
2013-09-14 21:15:00,120.91,24.38,3.3,4.5
2013-09-15 19:15:00,122.24,24.83,3.7,13.4
2013-09-16 08:45:00,120.88,22.97,3.9,4.3
2013-09-16 09:15:00,121.69,24.14,4.1,7.5
2013-09-16 11:30:00,121.53,24.05,2.4,16.0
2013-09-17 21:30:00,121.75,24.27,2.9,14.0
2013-09-18 10:00:00,122.09,24.65,3.6,14.6
2013-09-18 11:30:00,122.09,24.64,4.5,15.1
2013-09-19 20:15:00,121.12,22.88,4.0,16.1
2013-09-20 11:30:00,121.89,24.48,2.8,22.6
2013-09-20 21:00:00,121.48,23.91,3.2,15.1
2013-09-21 07:00:00,121.48,23.37,3.5,9.4
2013-09-21 22:30:00,120.86,22.96,3.8,6.4
2013-09-22 00:15:00,121.8,24.3,3.1,14.9
2013-09-24 23:00:00,121.61,24.33,3.1,24.8
2013-09-25 07:00:00,121.69,24.13,3.1,9.5
2013-09-25 08:15:00,121.69,24.14,3.2,7.9
2013-09-25 23:45:00,120.69,23.1,3.7,7.1
2013-09-26 04:45:00,121.6,23.5,3.6,41.5
2013-09-28 14:00:00,120.95,22.59,3.1,10.9
2013-09-29 13:45:00,121.59,24.0,1.9,7.5
2013-09-30 03:45:00,120.37,22.07,4.2,45.7
2013-09-30 16:15:00,120.36,23.09,3.0,16.4
2013-09-30 20:00:00,120.96,23.85,4.7,11.1
2013-10-03 14:15:00,120.96,22.48,3.0,15.7
2013-10-03 19:15:00,121.45,24.23,2.9,6.1
2013-10-03 22:30:00,121.7,24.13,3.3,10.7
2013-10-05 21:00:00,119.5,23.96,3.1,27.5
2013-10-08 06:45:00,121.7,24.15,3.4,9.5
2013-10-08 23:30:00,121.47,23.94,2.3,16.8
2013-10-09 05:00:00,121.57,23.85,3.7,43.7
2013-10-10 12:00:00,120.93,24.08,3.4,24.0
2013-10-10 19:15:00,121.45,24.23,3.2,6.1
2013-10-11 12:45:00,121.69,25.04,4.9,143.8
2013-10-11 23:15:00,120.51,22.72,3.1,27.7
